6;10/03/2013 0:32;10;WhatsApp;58;;
6;10/03/2013 0:33;10;WhatsApp;35;;
6;10/03/2013 0:36;10;Facebook (messenger);35;;
6;10/03/2013 1:22;10;Facebook (messenger);17;;
6;10/03/2013 10:39;10;Facebook (messenger);6;;
6;10/03/2013 10:39;10;SMS;10;;
6;10/03/2013 10:40;10;WhatsApp;3;;
6;10/03/2013 10:40;10;SMS;10;;
6;10/03/2013 10:41;10;Facebook (messenger);29;;
6;10/03/2013 10:44;10;SMS;95;;
6;10/03/2013 13:14;10;WhatsApp;30;;
6;10/03/2013 14:17;10;SMS;14;;
6;10/03/2013 14:58;10;SMS;15;;
6;10/03/2013 15:37;10;SMS;4;;
6;10/03/2013 15:37;10;SMS;27;;
6;10/03/2013 15:49;10;ChatON;32;;
9;10/03/2013 18:04;10;Facebook (messenger);37;;
1;10/03/2013 18:41;10;;;7;2
2;10/03/2013 18:41;10;;;4;2
3;10/03/2013 18:41;10;;;1;2
4;10/03/2013 18:41;10;;;20;2
5;10/03/2013 18:41;10;;;5;2
6;10/03/2013 18:41;10;;;16;1
7;10/03/2013 18:41;10;;;1;1
8;10/03/2013 18:41;10;;;11;2
9;10/03/2013 18:41;10;;;18;2
10;10/03/2013 18:41;10;;;1;2
11;10/03/2013 18:41;10;;;0;2
12;10/03/2013 18:41;10;;;18;2
6;10/03/2013 18:41;10;SMS;139;;
6;10/03/2013 18:45;10;SMS;75;;
6;10/03/2013 18:51;10;SMS;10;;
9;10/03/2013 18:57;10;Facebook (messenger);23;;
9;10/03/2013 19:04;10;Facebook (messenger);29;;
9;10/03/2013 19:24;10;Facebook (messenger);12;;
6;10/03/2013 2:05;10;Facebook (messenger);30;;
6;10/03/2013 2:12;10;Facebook (messenger);26;;
6;10/03/2013 2:41;10;Facebook (messenger);30;;
6;10/03/2013 2:46;10;Facebook (messenger);31;;
9;10/03/2013 20:15;10;Facebook (messenger);3;;
9;10/03/2013 20:15;10;Facebook (messenger);55;;
6;10/03/2013 20:41;10;WhatsApp;36;;
9;10/03/2013 21:09;10;Facebook (messenger);52;;
9;10/03/2013 21:13;10;Facebook (messenger);29;;
6;10/03/2013 21:53;10;Facebook (messenger);59;;
6;10/03/2013 22:12;10;Facebook (messenger);31;;
9;10/03/2013 22:14;10;Facebook (messenger);3;;
9;10/03/2013 23:14;10;Facebook (messenger);3;;
6;10/03/2013 23:23;10;Facebook (messenger);17;;
6;10/03/2013 3:26;10;Facebook (messenger);31;;
6;10/03/2013 3:38;10;WhatsApp;53;;
6;10/03/2013 3:41;10;WhatsApp;24;;
6;10/03/2013 4:29;10;Facebook (messenger);111;;
6;10/03/2013 4:36;10;Facebook (messenger);126;;
6;10/03/2013 4:39;10;Facebook (messenger);15;;
6;10/03/2013 4:47;10;Facebook (messenger);5;;
6;10/03/2013 8:17;10;Facebook (messenger);23;;
6;10/03/2013 8:27;10;Facebook (messenger);30;;
6;10/03/2013 8:53;10;Facebook (messenger);22;;
9;11/03/2013 0:14;11;Facebook (messenger);36;;
2;11/03/2013 0:53;11;Google Talk;24;;
2;11/03/2013 0:55;11;Facebook (messenger);4;;
2;11/03/2013 0:56;11;Facebook (messenger);30;;
2;11/03/2013 1:02;11;Facebook (messenger);28;;
2;11/03/2013 1:03;11;Facebook (messenger);30;;
2;11/03/2013 1:12;11;Facebook (messenger);7;;
2;11/03/2013 1:46;11;Facebook (messenger);8;;
2;11/03/2013 1:48;11;Facebook (messenger);14;;
